depart,fin,A_tout_d_un_coup,A_dca,A_ecart_pct,B_salaire_immediat,B_salaire_accumule,B_ecart_pct
1934-01,1944-01,1.8770971787641606,1.9861249473289766,-5.489471783305532,169.55359885205826,165.03574095789756,2.7375027178587086
1934-02,1944-02,1.7378857682686955,1.9942909411972796,-12.856959214519136,168.22711755274833,160.8359595590446,4.595463610232242
1934-03,1944-03,1.8846651201727125,2.0892350848732124,-9.791620205005058,172.87712791871294,166.43854771100013,3.8684429155754207
1934-04,1944-04,1.8232188404463072,2.0957588910427307,-13.004360938715765,169.70332581201185,166.45405653995826,1.9520517190120712
1934-05,1944-05,2.0664771833505493,2.165404426638256,-4.568534268736535,172.56138095470308,172.26941181864152,0.169484026780653
1934-06,1944-06,2.1364026667315628,2.26925859963251,-5.854596427329273,180.2725372564637,180.89496353370552,-0.34408159579625286
1934-07,1944-07,2.301152909809884,2.325975820995141,-1.0672041799057341,184.50187769908715,182.78936950715226,0.9368751566637856
1934-08,1944-08,2.35983659590708,2.2723831583034944,3.848533962418399,181.22547415267852,170.26960261821083,6.434425972693214
1934-09,1944-09,2.3787355967173553,2.1984224747396452,8.201932251400601,177.62139800220055,166.35737432809893,6.770979476921846
1934-10,1944-10,2.4180942426472707,2.2064909528889314,9.590036590963113,181.27939844045628,170.02590922270204,6.618690803772909
1934-11,1944-11,2.336198354426764,2.143202508034349,9.005021488586372,179.30556712805407,167.26812443369542,7.196495288694571
1934-12,1944-12,2.371805954368928,2.133726897284979,11.157897357290114,182.55104537972082,171.72262124800744,6.305764524799917
1935-01,1945-01,2.442233213203507,2.1403924370229266,14.102123094791486,187.26769883519339,179.91942314339195,4.084203674855602
1935-02,1945-02,2.601587524496426,2.1452284838554827,21.273213742750528,192.7183041482052,181.6247907009351,6.107929101780352
1935-03,1945-03,2.7743445459486193,2.0632651060744243,34.46379419594303,191.67424286756153,181.39621549115355,5.6660649443974975
1935-04,1945-04,2.644994390455983,2.0145875285211092,31.29210585343245,195.36075669939183,187.34101928544945,4.280822985020061
1935-05,1945-05,2.544781506663596,2.0030369483422543,27.046159022163717,201.72543431649999,200.14594189232977,0.7891703470160438
1935-06,1945-06,2.496324810458385,1.9746036552709,26.42156332461103,204.5081129013668,206.29877742515822,-0.8679957031936691
1935-07,1945-07,2.3239211484958715,1.8724448529016195,24.111593721685587,199.5237347499258,199.5340496691163,-0.0051695032540099994
1935-08,1945-08,2.1851363745988754,1.8193570167104416,20.10486971654388,199.5541692898129,189.91533089473933,5.075334544958832
1935-09,1945-09,2.28642387550923,1.8895949287138742,21.00074152217648,212.56145807761337,203.06000985605033,4.679133143103176
1935-10,1945-10,2.320184838546621,1.914579917879402,21.18506085222438,220.75647550748286,210.5173602244289,4.863786659750158
1935-11,1945-11,2.1909456213457714,1.9195836073076487,14.136504031659602,227.292380676635,215.2593597448508,5.5900105556604185
1935-12,1945-12,2.2286107477367185,1.9070166159599087,16.863729926911695,230.6214437368094,221.92887384941253,3.916826925952477
1936-01,1946-01,2.1964727408868425,1.9379130241448936,13.342173437120008,239.2016661467194,234.616174935867,1.9544650798717589
1936-02,1946-02,2.083598353757325,1.9037966807027658,9.444373702142794,239.34675699874643,230.26603668028312,3.943577806514109
1936-03,1946-03,1.9800106856175714,1.8144361515556977,9.125398759273518,231.83208318661542,224.45654827294672,3.2859522123185325
1936-04,1946-04,2.1051118533864086,1.9001876396329174,10.784419889873554,246.41754745386143,241.5315506542425,2.022922796787463
1936-05,1946-05,2.2276316853540146,1.8819284070539921,18.369629631192687,246.52152669531765,248.62956827595042,-0.8478643933022001
1936-06,1946-06,2.122786464623456,1.844619761169925,15.079893933105627,244.40193139421174,248.65503772248817,-1.710444464440375
1936-07,1946-07,1.9471267389028815,1.7806982974648873,9.346245889881066,237.02578995391235,239.3629991770974,-0.9764287844069908
1936-08,1946-08,1.8723253091229664,1.7358401695567023,7.862771121440271,232.19123667956615,223.58119639991565,3.850967978653208
1936-09,1946-09,1.579347055336996,1.47325501149787,7.201200268191266,197.9110749944033,191.46205056406737,3.368304273006806
1936-10,1946-10,1.468075234066744,1.4547235330038593,0.917817080700889,193.59626669827236,188.27317317356417,2.8273244854703616
1936-11,1946-11,1.4235250020519437,1.4931586431967605,-4.663512578659123,193.06166176121812,186.9139231640816,3.2890747211697713
1936-12,1946-12,1.4925304889022586,1.6025934930884345,-6.867805507812729,199.13412216819415,195.91371193344324,1.6437901170720304
1937-01,1947-01,1.455865758057962,1.6766512434507201,-13.168241532351054,200.42216864854072,199.8115854387153,0.3055794830338687
1937-02,1947-02,1.4694633965952753,1.8084155410587572,-18.743045321598963,208.45602093559208,203.6516476552103,2.3591133858714253
1937-03,1947-03,1.4122069448530172,1.8068081074781195,-21.839682974185504,200.30145105330456,196.55809988393185,1.9044502218851234
1937-04,1947-04,1.4469178701012944,1.8212917282852708,-20.55540319926923,193.26284652415615,192.08504757697222,0.6131653463093967
1937-05,1947-05,1.487891371996407,1.8696640330861969,-20.419318890122174,190.15634636517893,193.58321071900102,-1.7702280797462389
1937-06,1947-06,1.5994941995238536,2.0107111536977524,-20.451319097606813,197.07005306749832,201.321832893805,-2.1119318084837135
1937-07,1947-07,1.6042725714167663,2.2068894458744532,-27.30616504529557,209.58010551702952,210.91755026966916,-0.6341078544339518
1937-08,1947-08,1.5571604065356277,2.2072138675158874,-29.45131283140512,205.6777172886196,197.1865369514842,4.306166368358388
1937-09,1947-09,1.766879417596836,2.193408323997822,-19.445941812766165,200.6366515669924,193.49931517765944,3.6885589919426254
1937-10,1947-10,2.1191494908260866,2.281339699637234,-7.1094282380189995,205.88627167449542,197.05778629536985,4.4801504904214084
1937-11,1947-11,2.2932647265633377,2.2436362591347825,2.211965831203555,203.23993250986948,190.25633148274986,6.824267516320126
1937-12,1947-12,2.2909158334370483,2.1813398950765857,5.023331696622901,199.64841418559956,188.74065259440175,5.779232741468943
1938-01,1948-01,2.200048665576623,2.1276261057880084,3.403913854581675,196.59626785460824,189.11655271115973,3.955082215818728
1938-02,1948-02,2.1409194580605044,2.0071153696927344,6.666487158047807,186.66081004159037,177.22614888849893,5.3235153007964
1938-03,1948-03,2.3219033458028284,2.0166839456682366,15.134716611901023,189.0360276959867,181.08865728058197,4.388662732802162
1938-04,1948-04,2.6018825166355364,2.1373804122910647,21.73230846850376,203.03265094065813,196.06975922692078,3.5512318376842877
1938-05,1948-05,2.6988737167881833,2.221025902145292,21.514733987628777,212.11408790669162,209.2094536555528,1.3883857542695388
1938-06,1948-06,2.742525900992517,2.286697691683864,19.93390779053934,220.01229520348355,218.822680047877,0.5436434447043004
1938-07,1948-07,2.2321441012169925,2.208871228876133,1.053609284082202,213.95187405917733,210.68779748469396,1.5492480406799514
1938-08,1948-08,2.154281249328415,2.1536190639484887,0.030747563067734518,207.38147412979075,199.68125269704933,3.8562565732818133
1938-09,1948-09,2.2312880656480396,2.1424872469375105,4.144753665976864,204.78510876667374,199.53456960924382,2.631393230612744
1938-10,1948-10,2.0636631797269867,2.187976819224519,-5.681670774811609,210.01297379350848,202.31266004974856,3.806145271317374
1938-11,1948-11,1.9501489340176417,2.0714265865408956,-5.854788835445879,198.26290958273046,188.69387270371328,5.071196399706346
1938-12,1948-12,1.9988956641060684,2.066181521276643,-3.256531746010405,196.9730815915201,189.77394829447746,3.7935308622401243
1939-01,1949-01,2.0554943611286145,2.096697850965806,-1.9651610659214391,199.13536794534582,194.4638835535527,2.402237529369633
1939-02,1949-02,1.9963772970207843,2.022204218210704,-1.2771668141792425,191.45864199404934,183.69706966539025,4.22520203659047
1939-03,1949-03,2.020906182148659,2.047166189359199,-1.2827491655066692,193.27230635133492,187.2553095180755,3.2132583309626206
1939-04,1949-04,2.3124289509661056,2.0510667113461825,12.742746892341806,193.01253260160073,188.08624379728224,2.6191648601521234
